method,candidate_budget,instances,mean_seed,mean_block_size,mean_found_improvement,mean_best_improvement,mean_improving_probability,mean_global_or_near_optimum_probability,mean_relative_exact_gap
Exact,128,8,2.5,11.0,1.0,3.081442304647382,0.4140625,0.0986328125,0.0
Exact,256,8,2.5,11.0,1.0,3.081442304647382,0.216796875,0.04931640625,0.0
Exact,32,8,2.5,11.0,1.0,3.081442304647382,0.75,0.34375,0.0
Exact,64,8,2.5,11.0,1.0,3.081442304647382,0.615234375,0.197265625,0.0
Ideal QAOA p=1,128,8,2.5,11.0,0.75,1.2576712557845635,0.02734375,0.00390625,0.6701836550424353
Ideal QAOA p=1,256,8,2.5,11.0,0.5,1.4528847699516074,0.0244140625,0.00341796875,0.616177031289747
Ideal QAOA p=1,32,8,2.5,11.0,0.375,0.6790175597581971,0.02734375,0.00390625,0.8304191564270157
Ideal QAOA p=1,64,8,2.5,11.0,0.5,0.7071734809009573,0.01953125,0.001953125,0.8382024537396027
Ideal QAOA p=2,128,8,2.5,11.0,0.625,0.817967648233271,0.0380859375,0.0087890625,0.7406656499884259
Ideal QAOA p=2,256,8,2.5,11.0,0.75,1.5380284874133388,0.0400390625,0.01025390625,0.5132764532035534
Ideal QAOA p=2,32,8,2.5,11.0,0.25,0.47976074237188904,0.03515625,0.015625,0.8151756595975127
Ideal QAOA p=2,64,8,2.5,11.0,0.5,1.0172018067700943,0.04296875,0.005859375,0.7143501777748182
Ideal QAOA p=3,128,8,2.5,11.0,0.5,0.804550477992187,0.0166015625,0.0009765625,0.842251257286079
Ideal QAOA p=3,256,8,2.5,11.0,0.5,0.9690959297255244,0.01611328125,0.00048828125,0.7735432991594324
Ideal QAOA p=3,32,8,2.5,11.0,0.125,0.2609957094394453,0.00390625,0.0,0.9488263991582637
Ideal QAOA p=3,64,8,2.5,11.0,0.5,0.5735030918760256,0.015625,0.001953125,0.8363752188912595
Random,128,8,2.5,11.0,0.75,1.8365415431622338,0.0419921875,0.0078125,0.49252657604021105
Random,256,8,2.5,11.0,0.625,1.4884137649616402,0.04052734375,0.00439453125,0.6092108378114849
Random,32,8,2.5,11.0,0.5,0.6993455521554619,0.06640625,0.0078125,0.735676098246823
Random,64,8,2.5,11.0,0.625,1.0218953255393224,0.05859375,0.009765625,0.7006814158358582
单点局部搜索,128,8,2.5,11.0,0.5,0.452999510539172,0.060546875,0.044921875,0.91118008727568
单点局部搜索,256,8,2.5,11.0,0.5,0.452999510539172,0.06103515625,0.04443359375,0.91118008727568
单点局部搜索,32,8,2.5,11.0,0.5,0.452999510539172,0.0625,0.05078125,0.91118008727568
单点局部搜索,64,8,2.5,11.0,0.5,0.452999510539172,0.060546875,0.046875,0.91118008727568
多起点局部搜索,128,8,2.5,11.0,1.0,3.0654800353067486,0.291015625,0.107421875,0.015020732975652894
多起点局部搜索,256,8,2.5,11.0,1.0,3.044997014497362,0.29833984375,0.11279296875,0.03429556035432252
多起点局部搜索,32,8,2.5,11.0,1.0,2.77175687107332,0.27734375,0.1015625,0.10054073634530736
多起点局部搜索,64,8,2.5,11.0,1.0,2.7124364999064703,0.291015625,0.12109375,0.15636208832849052
模拟退火,128,8,2.5,11.0,0.625,2.1330618822518783,0.341796875,0.181640625,0.5061928232370505
模拟退火,256,8,2.5,11.0,0.5,2.2705055033772226,0.26953125,0.21923828125,0.5548204888565446
模拟退火,32,8,2.5,11.0,0.5,1.147227647298573,0.2265625,0.51171875,0.7750623187501767
模拟退火,64,8,2.5,11.0,0.5,2.1735715186439464,0.283203125,0.537109375,0.5738263991582637
