instance_id,seed,block_size,qubo_version,capacity_penalty,spearman_qubo_true_distance,low_10pct_improving_ratio,feasible_state_ratio,capacity_repair_ratio,top_16_contains_improvement,top_32_contains_improvement,top_64_contains_improvement
seed002_pair1_B2_w8,2,8,full_interaction,10.0,0.1509531875649365,0.23076923076923078,0.73828125,0.26171875,True,True,True
seed002_pair1_B2_w8,2,8,full_interaction,25.0,0.15094531944042322,0.23076923076923078,0.73828125,0.26171875,True,True,True
seed002_pair1_B2_w8,2,8,full_interaction,50.0,0.15094531944042322,0.23076923076923078,0.73828125,0.26171875,True,True,True
seed002_pair1_B3_w10,2,10,full_interaction,10.0,0.19490105361623516,0.038834951456310676,0.6875,0.3125,True,True,True
seed002_pair1_B3_w10,2,10,full_interaction,25.0,0.19203161257986753,0.038834951456310676,0.6875,0.3125,True,True,True
seed002_pair1_B3_w10,2,10,full_interaction,50.0,0.19150001295432856,0.038834951456310676,0.6875,0.3125,True,True,True
seed002_pair1_B2_w12,2,12,full_interaction,10.0,0.5690466038516431,0.04878048780487805,0.661865234375,0.338134765625,True,True,True
seed002_pair1_B2_w12,2,12,full_interaction,25.0,0.5663334931708318,0.04878048780487805,0.661865234375,0.338134765625,True,True,True
seed002_pair1_B2_w12,2,12,full_interaction,50.0,0.5655476068753222,0.04878048780487805,0.661865234375,0.338134765625,True,True,True
seed002_pair1_B3_w14,2,14,full_interaction,10.0,0.1348793141618826,0.02928615009151922,0.64276123046875,0.35723876953125,True,True,True
seed002_pair1_B3_w14,2,14,full_interaction,25.0,0.13325756597195904,0.02928615009151922,0.64276123046875,0.35723876953125,True,True,True
seed002_pair1_B3_w14,2,14,full_interaction,50.0,0.13266548264917422,0.02928615009151922,0.64276123046875,0.35723876953125,True,True,True
seed003_pair1_B1_w8,3,8,full_interaction,10.0,-0.014976101719460146,0.0,0.07421875,0.92578125,False,False,True
seed003_pair1_B1_w8,3,8,full_interaction,25.0,-0.015227163770972052,0.0,0.07421875,0.92578125,False,False,True
seed003_pair1_B1_w8,3,8,full_interaction,50.0,-0.015227163770972052,0.0,0.07421875,0.92578125,False,False,True
seed003_pair1_B2_w10,3,10,full_interaction,10.0,-0.0006905533931423032,0.0,0.064453125,0.935546875,False,False,False
seed003_pair1_B2_w10,3,10,full_interaction,25.0,-0.0018189506846788739,0.0,0.064453125,0.935546875,False,False,False
seed003_pair1_B2_w10,3,10,full_interaction,50.0,-0.0018383967540606884,0.0,0.064453125,0.935546875,False,False,False
seed003_pair1_B3_w12,3,12,full_interaction,10.0,-0.12365806076567601,0.0,0.05615234375,0.94384765625,False,False,False
seed003_pair1_B3_w12,3,12,full_interaction,25.0,-0.12443212076044358,0.0,0.05615234375,0.94384765625,False,False,False
seed003_pair1_B3_w12,3,12,full_interaction,50.0,-0.1245145368863037,0.0,0.05615234375,0.94384765625,False,False,False
seed003_pair1_B1_w14,3,14,full_interaction,10.0,-0.06527925486271174,0.0,0.05181884765625,0.94818115234375,False,False,False
seed003_pair1_B1_w14,3,14,full_interaction,25.0,-0.0655568511338269,0.0,0.05181884765625,0.94818115234375,False,False,False
seed003_pair1_B1_w14,3,14,full_interaction,50.0,-0.06567744295015152,0.0,0.05181884765625,0.94818115234375,False,False,False
