stage,p,instances,mean_seed,mean_shots,mean_low_energy_probability,mean_improving_probability,mean_found_improvement,mean_best_improvement,mean_distribution_entropy,mean_unique_states
Baihua 真机,1,10,15.4,1024.0,0.12041015625,0.0228515625,0.5,0.5736823945059072,7.710487416639495,245.7
Baihua 真机,2,10,15.4,1024.0,0.11162109375,0.02421875,0.5,0.40552168306541886,7.414246001010409,226.0
Baihua 真机,3,3,4.0,1024.0,0.20345052083333334,0.021484375,0.3333333333333333,0.329795707610027,6.961928811164644,202.0
噪声缩放：理想无噪声,1,10,15.4,1024.0,0.11418798408585214,0.02435458971812444,0.6,0.5684549813228458,7.975460686005137,247.9
噪声缩放：理想无噪声,2,10,15.4,1024.0,0.20452283202306032,0.027054751227642237,0.7,0.5686371370724188,7.574674547053124,222.5
噪声缩放：理想无噪声,3,3,4.0,1024.0,0.34919459310930184,0.016910923865950746,0.6666666666666666,0.5966562304171958,6.572155685994555,155.33333333333334
完整 QUBO 理想模拟,1,10,15.4,1024.0,0.24194677556998118,0.019276680112036253,0.6,0.8242109706706671,7.586423659716265,225.2
完整 QUBO 理想模拟,2,10,15.4,1024.0,0.3995940898069984,0.02531654528592568,0.6,0.7455410355405675,6.462349642304412,161.6
完整 QUBO 理想模拟,3,3,4.0,1024.0,0.3387985278226318,0.01960501159540618,0.3333333333333333,0.43275681264214444,6.144355065819886,147.0
带噪声模拟：25% 噪声,1,10,15.4,1024.0,0.11398716075478424,0.024288634118403422,0.6,0.4816395527462589,7.978126424239237,248.9
带噪声模拟：25% 噪声,2,10,15.4,1024.0,0.19829032372930167,0.027200163741092864,0.7,0.5536954897461825,7.625107365510457,225.9
带噪声模拟：25% 噪声,3,3,4.0,1024.0,0.33516694285625004,0.01725888871615586,0.6666666666666666,0.5966562304171958,6.740446252441949,172.66666666666666
带噪声模拟：50% 噪声,1,10,15.4,1024.0,0.11375851245327195,0.024222685421851298,0.5,0.441470429408119,7.980562282509294,249.5
带噪声模拟：50% 噪声,2,10,15.4,1024.0,0.19229725855796043,0.027298817699628365,0.7,0.7212235902606139,7.6692698261441095,230.1
带噪声模拟：50% 噪声,3,3,4.0,1024.0,0.32159567514462634,0.017547402619948433,0.6666666666666666,0.6996173354493133,6.883110236333178,183.66666666666666
带噪声模拟：当前噪声,1,10,15.4,1024.0,0.11321925374913652,0.024090721029895668,0.6,0.5023612438196011,7.98480696331046,249.2
带噪声模拟：当前噪声,2,10,15.4,1024.0,0.18098546138067131,0.027369941723155135,0.5,0.4141287182302307,7.74334110284106,234.2
带噪声模拟：当前噪声,3,3,4.0,1024.0,0.2957324531497502,0.01795365608363802,0.6666666666666666,0.6996173354493133,7.120748827137575,196.0
硬件兼容理想模拟,1,10,15.4,1024.0,0.11418798408585214,0.02435458971812444,0.6,0.5684549813228458,7.975460686005137,247.9
硬件兼容理想模拟,2,10,15.4,1024.0,0.20452283202306032,0.027054751227642237,0.7,0.5686371370724188,7.574674547053124,222.5
硬件兼容理想模拟,3,3,4.0,1024.0,0.34919459310930184,0.016910923865950746,0.6666666666666666,0.5966562304171958,6.572155685994555,155.33333333333334
