instance_id,seed,p,stage,noise_scale,status,task_id,shots,low_energy_probability,improving_probability,found_improvement,best_improvement,distribution_entropy,unique_states
seed002_pair1_B2_w8,2,1,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.1406605817568201,0.005181314280442986,False,0.0,7.750548853900072,242
seed002_pair1_B2_w8,2,1,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.11476554778790395,0.004418896012167756,False,0.0,7.984092294007803,251
seed002_pair1_B2_w8,2,1,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.11295994276360413,0.004348259224057679,True,0.8005815684215065,7.989719885975248,251
seed002_pair1_B2_w8,2,1,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.11387474349560625,0.004384018830523693,False,0.0,7.987128392331331,250
seed002_pair1_B2_w8,2,1,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.114323060027815,0.004401564452073854,False,0.0,7.985669349826531,252
seed002_pair1_B2_w8,2,1,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.11476554778790395,0.004418896012167756,False,0.0,7.984092294007803,251
seed002_pair1_B2_w8,2,1,Baihua 真机,observed,COMPLETED,2608021810408258938,1024,0.0810546875,0.001953125,False,0.0,7.7447342299743,250
seed002_pair1_B2_w8,2,2,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.19484575940168125,0.006756690276305626,True,0.8005815684215065,6.875541598540398,161
seed002_pair1_B2_w8,2,2,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.11652498404637748,0.004448656432898683,True,0.8005815684215065,7.72884438288131,220
seed002_pair1_B2_w8,2,2,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.11617067340889897,0.004443012169855494,False,0.0,7.869233259739135,234
seed002_pair1_B2_w8,2,2,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.11636318270918956,0.004446544155903778,False,0.0,7.812840979022151,231
seed002_pair1_B2_w8,2,2,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.1164452539947726,0.004447674873344259,True,0.8005815684215065,7.775685590105979,226
seed002_pair1_B2_w8,2,2,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.11652498404637748,0.004448656432898683,True,0.8005815684215065,7.72884438288131,220
seed002_pair1_B2_w8,2,2,Baihua 真机,observed,COMPLETED,2608021813552220082,1024,0.0234375,0.001953125,False,0.0,7.415929133917587,225
seed002_pair1_B2_w8,2,3,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.18563616607252983,0.00660485813226512,False,0.0,6.563556618695793,158
seed002_pair1_B2_w8,2,3,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.21924916314532472,0.008435204228543158,True,0.8005815684215065,6.478385607748801,137
seed002_pair1_B2_w8,2,3,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.20603787039402965,0.007934499420658327,True,0.8005815684215065,7.050029393497333,193
seed002_pair1_B2_w8,2,3,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.21307905942301203,0.008202293443311554,True,0.8005815684215065,6.806046628983481,172
seed002_pair1_B2_w8,2,3,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.21627849521834483,0.008323332522426815,True,0.8005815684215065,6.658132740516679,164
seed002_pair1_B2_w8,2,3,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.21924916314532472,0.008435204228543158,True,0.8005815684215065,6.478385607748801,137
seed002_pair1_B2_w8,2,3,Baihua 真机,observed,COMPLETED,2608021823308491549,1024,0.173828125,0.00390625,False,0.0,7.067393372353941,207
seed003_pair1_B1_w8,3,1,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.3290844855172504,0.0030636393718069845,False,0.0,7.380355724574272,211
seed003_pair1_B1_w8,3,1,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.13093392212974087,0.00806027971986572,True,0.5151326882051706,7.918917760612446,242
seed003_pair1_B1_w8,3,1,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.127953933699335,0.008039808649774207,False,0.0,7.950324097004586,246
seed003_pair1_B1_w8,3,1,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.1295452177642963,0.008051138137787286,False,0.0,7.936114751485261,244
seed003_pair1_B1_w8,3,1,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.13026569526445114,0.008055984135777416,False,0.0,7.927918918370293,243
seed003_pair1_B1_w8,3,1,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.13093392212974087,0.00806027971986572,True,0.5151326882051706,7.918917760612446,242
seed003_pair1_B1_w8,3,1,Baihua 真机,observed,COMPLETED,2608021821204400442,1024,0.158203125,0.0068359375,False,0.0,7.610306031929836,238
seed003_pair1_B1_w8,3,2,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.508570297033724,0.00034412676775662156,False,0.0,5.409410374590429,116
seed003_pair1_B1_w8,3,2,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.07907582454317634,0.007574879664362279,False,0.0,7.957763608662637,249
seed003_pair1_B1_w8,3,2,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.0845237598978468,0.007667545615320713,False,0.0,7.9784151904886,252
seed003_pair1_B1_w8,3,2,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.08189126616844088,0.007625539220940194,False,0.0,7.969400928146252,252
seed003_pair1_B1_w8,3,2,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.08050658123160707,0.007601363426932163,False,0.0,7.963939631415864,250
seed003_pair1_B1_w8,3,2,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.07907582454317634,0.007574879664362279,False,0.0,7.957763608662637,249
seed003_pair1_B1_w8,3,2,Baihua 真机,observed,COMPLETED,2608021821302408472,1024,0.0830078125,0.00390625,False,0.0,7.630432420930951,240
seed003_pair1_B1_w8,3,3,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.5819415384482339,0.0005464395566389739,False,0.0,4.878177895078706,101
seed003_pair1_B1_w8,3,3,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.5202850050481286,0.002094481719821791,False,0.0,5.981985165635387,124
seed003_pair1_B1_w8,3,3,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.42010919338846986,0.004487788650246424,False,0.0,6.762741376277604,171
seed003_pair1_B1_w8,3,3,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.4680750561713961,0.0033730460114149907,False,0.0,6.424619116749213,152
seed003_pair1_B1_w8,3,3,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.4936223865182085,0.002754165323140553,False,0.0,6.221347044126439,142
seed003_pair1_B1_w8,3,3,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.5202850050481286,0.002094481719821791,False,0.0,5.981985165635387,124
seed003_pair1_B1_w8,3,3,Baihua 真机,observed,COMPLETED,2608021823413631437,1024,0.3017578125,0.001953125,False,0.0,6.75342074617508,191
seed007_pair2_B1_w8,7,1,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.13528323627356964,0.03540392481836912,True,1.5698392634309357,7.924554310827606,247
