instance_id,seed,p,replicate,task_id,low_energy_probability,improving_probability,found_improvement,best_improvement,distribution_entropy,unique_states
seed002_pair1_B2_w8,2,1,1,2608021810408258938,0.0810546875,0.001953125,False,0.0,7.7447342299743,250
seed002_pair1_B2_w8,2,2,1,2608021813552220082,0.0234375,0.001953125,False,0.0,7.415929133917587,225
seed003_pair1_B1_w8,3,1,1,2608021821204400442,0.158203125,0.0068359375,False,0.0,7.610306031929836,238
seed003_pair1_B1_w8,3,2,1,2608021821302408472,0.0830078125,0.00390625,False,0.0,7.630432420930951,240
seed002_pair1_B2_w8,2,1,2,2608021835102139328,0.0751953125,0.0029296875,False,0.0,7.707067957038401,245
seed002_pair1_B2_w8,2,1,3,2608021835209182815,0.083984375,0.001953125,False,0.0,7.730797039100294,251
seed002_pair1_B2_w8,2,2,2,2608021835303347898,0.0341796875,0.0009765625,False,0.0,7.413320872197559,224
seed002_pair1_B2_w8,2,2,3,2608021835396191466,0.0263671875,0.0009765625,False,0.0,7.33931997193157,223
seed003_pair1_B1_w8,3,1,2,2608021835489093784,0.1318359375,0.005859375,False,0.0,7.690215661232985,246
seed003_pair1_B1_w8,3,1,3,2608021835579544811,0.171875,0.0087890625,True,0.5151326882051706,7.610477392546191,239
seed003_pair1_B1_w8,3,2,2,2608021836072036530,0.1015625,0.0068359375,False,0.0,7.6134066059303205,238
seed003_pair1_B1_w8,3,2,3,2608021836142634464,0.0712890625,0.005859375,False,0.0,7.647350523340326,242
