p,shots,metric,n,mean,std,q025,q975
1,64,low_energy_probability,2000,0.12078125,0.04551770123672149,0.03125,0.21875
1,64,improving_probability,2000,0.0231015625,0.03065632359047862,0.0,0.109375
1,64,found_improvement,2000,0.5735,0.49469193449562876,0.0,1.0
1,64,best_improvement,2000,0.5169978960151177,0.6811783361800827,0.0,2.66549414155196
1,256,low_energy_probability,2000,0.1199921875,0.02814165812922032,0.0703125,0.1796875
1,256,improving_probability,2000,0.02251953125,0.02418279146606516,0.0,0.0859375
1,256,found_improvement,2000,0.5965,0.4907220741693189,0.0,1.0
1,256,best_improvement,2000,0.573350323177321,0.7069732959128351,0.0,2.66549414155196
1,1024,low_energy_probability,10,0.12041015625,0.022599915369826216,0.08544921875,0.1562255859375
1,1024,improving_probability,10,0.0228515625,0.024373664493328312,0.0026123046875,0.071435546875
1,1024,found_improvement,10,0.5,0.5270462766947299,0.0,1.0
1,1024,best_improvement,10,0.5736823945059072,0.8821611188381167,0.0,2.3707024241819217
2,64,low_energy_probability,2000,0.1103203125,0.07173113563857639,0.0,0.265625
2,64,improving_probability,2000,0.0244453125,0.03110835736042126,0.0,0.109375
2,64,found_improvement,2000,0.5675,0.4955467013981965,0.0,1.0
2,64,best_improvement,2000,0.4269166693808458,0.5443368569174311,0.0,1.5698392634309357
2,256,low_energy_probability,2000,0.111427734375,0.0651342287677032,0.015625,0.2421875
2,256,improving_probability,2000,0.024212890625,0.02572104005519273,0.0,0.08984375
2,256,found_improvement,2000,0.5985,0.49032434059455965,0.0,1.0
2,256,best_improvement,2000,0.4385114084349228,0.5109996076032104,0.0,1.3553087310184537
2,1024,low_energy_probability,10,0.11162109375,0.0668056469883847,0.0254150390625,0.21970214843750002
2,1024,improving_probability,10,0.02421875,0.02636839310515369,0.000439453125,0.07487792968750001
2,1024,found_improvement,10,0.5,0.5270462766947299,0.0,1.0
2,1024,best_improvement,10,0.40552168306541886,0.5171046322797902,0.0,1.27297636917607
