instance_id,seed,num_customers,num_vehicles,vehicle_capacity,vehicle_pair,pair_rank,block_id,block_size,state_count,baseline_distance,exact_best_distance,best_improvement,has_improvement,improving_state_count,improving_state_ratio,single_bit_local_trap,minimum_required_flips,feasible_state_ratio,capacity_repair_ratio,spearman_qubo_true_distance,true_optimum_qubo_rank,current_bitstring,qubo_best_bitstring,true_best_bitstring
seed001_pair1_B1_w6,1,30,3,38,0-2,1,B1,6,64,86.50973986190237,85.48917754861964,1.0205623132827384,True,9,0.140625,False,1,0.109375,0.890625,0.20536970263617238,18,000000,101001,010000
seed001_pair1_B2_w6,1,30,3,38,0-2,1,B2,6,64,86.50973986190237,85.8961129161803,0.6136269457220749,True,3,0.046875,False,1,0.625,0.375,-0.5303753174174062,51,111000,101010,111010
seed001_pair1_B3_w6,1,30,3,38,0-2,1,B3,6,64,86.50973986190237,86.50973986190237,0.0,False,0,0.0,False,0,0.109375,0.890625,-0.07378569956220235,61,111011,101001,111011
seed001_pair2_B1_w6,1,30,3,38,0-1,2,B1,6,64,86.50973986190237,86.50973986190237,0.0,False,0,0.0,False,0,0.3125,0.6875,0.03160064200094297,35,000111,000101,000111
seed001_pair2_B2_w6,1,30,3,38,0-1,2,B2,6,64,86.50973986190237,86.50973986190237,0.0,False,0,0.0,False,0,0.3125,0.6875,0.14840083339130397,34,111000,101000,111000
seed001_pair2_B3_w6,1,30,3,38,0-1,2,B3,6,64,86.50973986190237,86.50973986190237,0.0,False,0,0.0,False,0,0.015625,0.984375,0.6019596926934391,1,000000,000000,000000
seed001_pair1_B1_w8,1,30,3,38,0-2,1,B1,8,256,86.50973986190237,85.48917754861964,1.0205623132827384,True,19,0.07421875,False,1,0.21875,0.78125,0.28700157828749334,24,10000000,10010101,10100000
seed001_pair1_B2_w8,1,30,3,38,0-2,1,B2,8,256,86.50973986190237,85.8961129161803,0.6136269457220749,True,1,0.00390625,False,1,0.1640625,0.8359375,-0.3508955991800867,247,11111001,10101001,11111101
seed001_pair1_B3_w8,1,30,3,38,0-2,1,B3,8,256,86.50973986190237,85.82147507340682,0.6882647884955588,True,7,0.02734375,False,1,0.56640625,0.43359375,0.40129626739619095,139,10001011,10101001,11101011
seed001_pair2_B1_w8,1,30,3,38,0-1,2,B1,8,256,86.50973986190237,86.50973986190237,0.0,False,0,0.0,False,0,0.0390625,0.9609375,-0.6457510423181188,253,01111111,01010101,01111111
