backend,metric,n_tasks,mean,median,standard_deviation,bootstrap_95_ci
Baihua,quality_hit_rate,1,0.2568359375,0.2568359375,0.0,"[0.2568359375, 0.2568359375]"
Baihua,random_quality_hit_rate,1,0.375,0.375,0.0,"[0.375, 0.375]"
Baihua,quality_hit_gain,1,-0.1181640625,-0.1181640625,0.0,"[-0.1181640625, -0.1181640625]"
Baihua,classical_reach_feasible_rate,1,0.0595703125,0.0595703125,0.0,"[0.0595703125, 0.0595703125]"
Baihua,strict_improvement_rate,1,0.0,0.0,0.0,"[0.0, 0.0]"
Baihua,raw_feasible_rate,1,0.2568359375,0.2568359375,0.0,"[0.2568359375, 0.2568359375]"
Baihua,best_gap,1,0.0,0.0,0.0,"[0.0, 0.0]"
Dongling,quality_hit_rate,1,0.3271484375,0.3271484375,0.0,"[0.3271484375, 0.3271484375]"
Dongling,random_quality_hit_rate,1,0.375,0.375,0.0,"[0.375, 0.375]"
Dongling,quality_hit_gain,1,-0.0478515625,-0.0478515625,0.0,"[-0.0478515625, -0.0478515625]"
Dongling,classical_reach_feasible_rate,1,0.1396484375,0.1396484375,0.0,"[0.1396484375, 0.1396484375]"
Dongling,strict_improvement_rate,1,0.0,0.0,0.0,"[0.0, 0.0]"
Dongling,raw_feasible_rate,1,0.3271484375,0.3271484375,0.0,"[0.3271484375, 0.3271484375]"
Dongling,best_gap,1,0.0,0.0,0.0,"[0.0, 0.0]"
Shenglian,quality_hit_rate,1,0.248046875,0.248046875,0.0,"[0.248046875, 0.248046875]"
Shenglian,random_quality_hit_rate,1,0.375,0.375,0.0,"[0.375, 0.375]"
Shenglian,quality_hit_gain,1,-0.126953125,-0.126953125,0.0,"[-0.126953125, -0.126953125]"
Shenglian,classical_reach_feasible_rate,1,0.0615234375,0.0615234375,0.0,"[0.0615234375, 0.0615234375]"
Shenglian,strict_improvement_rate,1,0.0,0.0,0.0,"[0.0, 0.0]"
Shenglian,raw_feasible_rate,1,0.248046875,0.248046875,0.0,"[0.248046875, 0.248046875]"
Shenglian,best_gap,1,0.0,0.0,0.0,"[0.0, 0.0]"
